link,likes,status
https://www.instagram.com/p/DccAsjZja-x/,531628,
https://www.instagram.com/p/DaNzYKuicqf/,144531,
https://www.instagram.com/p/DcMXysEGHTr/,49838,
https://www.instagram.com/p/Dco0ITbiYMy/,31090,
https://www.instagram.com/p/DcrpOUguzC2/,23947,
https://www.instagram.com/p/Dcunh2KOaJE/,23829,
https://www.instagram.com/p/Dcreye6OUap/,22677,
https://www.instagram.com/p/DbVFeONh2OX/,19939,
https://www.instagram.com/p/DcMeFjbjMDn/,17335,
https://www.instagram.com/p/DcpGXJhuQFG/,13419,
https://www.instagram.com/p/Dcrod9mOGC-/,13151,
https://www.instagram.com/p/DcmKX0_ORwq/,11567,
https://www.instagram.com/p/DcMTkidnQNw/,9860,
https://www.instagram.com/p/DcpXAKeOCnG/,9245,
https://www.instagram.com/p/Dcoxsi8DwTM/,8853,
https://www.instagram.com/p/DcuNOzmuXMm/,8272,
https://www.instagram.com/p/Dcr8YmDuO71/,7759,
https://www.instagram.com/p/DcuFFM4uNQX/,7630,
https://www.instagram.com/p/DcqJlkqjJiM/,6688,
https://www.instagram.com/p/DcmiZ-VOCaP/,6316,
https://www.instagram.com/p/DcmRWK6O7_D/,5260,
https://www.instagram.com/p/DcpgOYrOj68/,4830,
https://www.instagram.com/p/Dcn1jbnuE9Z/,4737,
https://www.instagram.com/p/DcmXHeiO0Ju/,3230,
https://www.instagram.com/p/DaGmjcnCZMK/,2009,
https://www.instagram.com/p/DcMYt9BE1YV/,1296,
https://www.instagram.com/p/DcMayHCiEOh/,1287,
https://www.instagram.com/p/DcMWUrSiVV3/,1179,
https://www.instagram.com/p/DcoyYKBAYMv/,1167,
https://www.instagram.com/p/DcMW4V7juRZ/,1049,
https://www.instagram.com/p/Dcoy740ESGD/,854,
https://www.instagram.com/p/DcMUuCLCcdz/,821,
https://www.instagram.com/p/DcmhxEjguGk/,701,
https://www.instagram.com/p/DaS3MZkihKN/,622,
https://www.instagram.com/p/DcMce_4lX4u/,605,
https://www.instagram.com/p/Dco0T4nFAn4/,583,
https://www.instagram.com/p/DctSdnuO-Jf/,551,
https://www.instagram.com/p/DclwFWkBG6l/,450,
https://www.instagram.com/p/DckC7hxICzE/,409,
https://www.instagram.com/p/DcMc8RtFfGr/,362,
https://www.instagram.com/p/DctsJc1hr97/,359,
https://www.instagram.com/p/Dckahl4DbPj/,337,
https://www.instagram.com/p/Dcl90t-hlRr/,243,
https://www.instagram.com/p/DcliQwBBXdU/,210,
https://www.instagram.com/p/DclNqrYtiI3/,197,
https://www.instagram.com/p/Dcn52B0lRRC/,194,
https://www.instagram.com/p/DaKzt_dCOpx/,165,
https://www.instagram.com/p/DclBAbSNKyc/,143,
https://www.instagram.com/p/DcojM0AR-3n/,106,
https://www.instagram.com/p/Dcn56u3R1Di/,102,
https://www.instagram.com/p/DbTOAvFi4gI/,100,
https://www.instagram.com/p/DcmyE7WM2DE/,91,
https://www.instagram.com/p/Dcs1zjKBlNj/,86,
https://www.instagram.com/p/DcqQbCQR035/,80,
https://www.instagram.com/p/DctDixFBBYb/,73,
https://www.instagram.com/p/Dcr4AR0M8MX/,61,
https://www.instagram.com/p/DckKrckMh-v/,59,
https://www.instagram.com/p/DcnsQuQxjCQ/,57,
https://www.instagram.com/p/DcvaoQxhgOV/,55,
https://www.instagram.com/p/Dctfcl4i2mM/,51,
https://www.instagram.com/p/Dcub2RYsLzI/,50,
https://www.instagram.com/p/Dcjxs4Jt07r/,42,
https://www.instagram.com/p/DctROF_BKCU/,39,
https://www.instagram.com/p/Dcr4IsjsXG2/,34,
https://www.instagram.com/p/DcqexLMR7Tv/,23,
https://www.instagram.com/p/DcpgRFRM8AC/,21,
https://www.instagram.com/p/DcvoYySBQpa/,0,
